東ティモール,TL,TLS,626,ISO 3166-2:TL
ピトケアン,PN,PCN,612,ISO 3166-2:PN
フィジー,FJ,FJI,242,ISO 3166-2:FJ
フィリピン,PH,PHL,608,ISO 3166-2:PH
フィンランド,FI,FIN,246,ISO 3166-2:FI
ブータン,BT,BTN,64,ISO 3166-2:BT
ブーベ島,BV,BVT,74,ISO 3166-2:BV
プエルトリコ,PR,PRI,630,ISO 3166-2:PR
フェロー諸島,FO,FRO,234,ISO 3166-2:FO
フォークランド（マルビナス）諸島,FK,FLK,238,ISO 3166-2:FK
ブラジル,BR,BRA,76,ISO 3166-2:BR
フランス,FR,FRA,250,ISO 3166-2:FR
フランス領ギアナ,GF,GUF,254,ISO 3166-2:GF
フランス領ポリネシア,PF,PYF,258,ISO 3166-2:PF
フランス領南方・南極地域,TF,ATF,260,ISO 3166-2:TF
ブルガリア,BG,BGR,100,ISO 3166-2:BG
ブルキナファソ,BF,BFA,854,ISO 3166-2:BF
ブルネイ・ダルサラーム,BN,BRN,96,ISO 3166-2:BN
ブルンジ,BI,BDI,108,ISO 3166-2:BI
ベトナム,VN,VNM,704,ISO 3166-2:VN
ベナン,BJ,BEN,204,ISO 3166-2:BJ
ベネズエラ・ボリバル共和国,VE,VEN,862,ISO 3166-2:VE
ベラルーシ,BY,BLR,112,ISO 3166-2:BY
ベリーズ,BZ,BLZ,84,ISO 3166-2:BZ
ペルー,PE,PER,604,ISO 3166-2:PE
ベルギー,BE,BEL,56,ISO 3166-2:BE
ポーランド,PL,POL,616,ISO 3166-2:PL
ボスニア・ヘルツェゴビナ,BA,BIH,70,ISO 3166-2:BA
ボツワナ,BW,BWA,72,ISO 3166-2:BW
ボネール、シント・ユースタティウスおよびサバ,BQ,BES,535,ISO 3166-2:BQ
ボリビア多民族国,BO,BOL,68,ISO 3166-2:BO
ポルトガル,PT,PRT,620,ISO 3166-2:PT
香港,HK,HKG,344,ISO 3166-2:HK
ホンジュラス,HN,HND,340,ISO 3166-2:HN
マーシャル諸島,MH,MHL,584,ISO 3166-2:MH
マカオ,MO,MAC,446,ISO 3166-2:MO
マケドニア旧ユーゴスラビア共和国,MK,MKD,807,ISO 3166-2:MK
マダガスカル,MG,MDG,450,ISO 3166-2:MG
マヨット,YT,MYT,175,ISO 3166-2:YT
マラウイ,MW,MWI,454,ISO 3166-2:MW
マリ,ML,MLI,466,ISO 3166-2:ML
マルタ,MT,MLT,470,ISO 3166-2:MT
マルティニーク,MQ,MTQ,474,ISO 3166-2:MQ
マレーシア,MY,MYS,458,ISO 3166-2:MY
マン島,IM,IMN,833,ISO 3166-2:IM
ミクロネシア連邦,FM,FSM,583,ISO 3166-2:FM
南アフリカ,ZA,ZAF,710,ISO 3166-2:ZA
南スーダン,SS,SSD,728,ISO 3166-2:SS
ミャンマー,MM,MMR,104,ISO 3166-2:MM
メキシコ,MX,MEX,484,ISO 3166-2:MX
モーリシャス,MU,MUS,480,ISO 3166-2:MU
モーリタニア,MR,MRT,478,ISO 3166-2:MR
モザンビーク,MZ,MOZ,508,ISO 3166-2:MZ
モナコ,MC,MCO,492,ISO 3166-2:MC
モルディブ,MV,MDV,462,ISO 3166-2:MV
モルドバ共和国,MD,MDA,498,ISO 3166-2:MD
モロッコ,MA,MAR,504,ISO 3166-2:MA
モンゴル,MN,MNG,496,ISO 3166-2:MN
モンテネグロ,ME,MNE,499,ISO 3166-2:ME
モントセラト,MS,MSR,500,ISO 3166-2:MS
ヨルダン,JO,JOR,400,ISO 3166-2:JO
ラオス人民民主共和国,LA,LAO,418,ISO 3166-2:LA
ラトビア,LV,LVA,428,ISO 3166-2:LV
リトアニア,LT,LTU,440,ISO 3166-2:LT
リビア,LY,LBY,434,ISO 3166-2:LY
リヒテンシュタイン,LI,LIE,438,ISO 3166-2:LI
リベリア,LR,LBR,430,ISO 3166-2:LR
ルーマニア,RO,ROU,642,ISO 3166-2:RO
ルクセンブルク,LU,LUX,442,ISO 3166-2:LU
ルワンダ,RW,RWA,646,ISO 3166-2:RW
レソト,LS,LSO,426,ISO 3166-2:LS
レバノン,LB,LBN,422,ISO 3166-2:LB
レユニオン,RE,REU,638,ISO 3166-2:RE
ロシア連邦,RU,RUS,643,ISO 3166-2:RU
